0.14,173.90
0.40,103.45
0.29,121.75
0.60,128.97
0.89,238.70
0.20,149.17
0.24,137.73
0.31,118.54
0.43,101.80
0.20,149.05
0.33,112.80
0.50,105.80
0.87,230.82
0.34,111.70
0.62,134.57
0.53,110.93
0.81,204.12
0.79,196.82
0.85,221.89
0.18,156.14
0.59,125.51
0.24,136.46
0.16,165.40
0.90,240.69
0.39,104.52
0.77,188.76
0.61,131.23
0.27,128.95
0.88,234.71
0.21,147.02
0.54,113.74
0.31,116.94
0.35,109.58
0.36,107.10
0.22,145.01
0.76,182.84
0.23,140.95
0.50,106.12
0.36,107.09
0.26,132.45
0.22,144.87
0.65,143.55
0.90,240.24
0.33,113.75
0.55,116.01
0.20,152.03
0.13,174.72
0.23,141.81
0.45,101.93
0.40,103.02
0.15,169.60
0.60,128.13
0.49,105.07
0.43,101.83
0.46,102.54
0.54,113.64
0.85,219.97
0.31,117.38
0.11,182.70
0.66,146.70
0.75,178.65
0.61,132.25
0.52,109.75
0.77,186.50
0.38,104.98
0.25,133.74
0.11,182.83
0.88,235.49
0.75,179.79
0.87,228.72
0.11,184.26
0.33,114.02
0.28,124.95
0.10,187.42
0.38,105.18
0.45,102.10
0.25,135.73
0.51,107.19
0.33,114.08
0.86,225.76
0.48,103.96
0.31,118.21
0.35,109.96
0.12,181.54
0.33,114.10
0.31,118.62
0.86,224.38
0.68,153.51
0.76,185.45
0.56,117.35
0.20,151.20
0.56,118.45
0.54,112.26
0.49,104.60
0.58,123.86
0.53,111.40
0.45,102.05
0.67,150.97
0.35,108.77
0.36,107.98
